12077;NO DAR CUENTA DE ACCIDENTE DE TRÁNSITO ART. 96 D 1 LEY 18290
12090;DELITOS CONTENIDOS EN LEY 19620 DE ADOP. MENORES. ART.41,42
12122;EXTRANJ INGRESAN/TRATAN EGRESAR CLANDESTINAMENTE 69 DL1094
12123;ROBO O HURTO DE MATERIAL DE GUERRA
12124;ADQUISICION MATERIAL DE GUERRA O VESTUARIO INSTIT ARMADAS
12132;INFRACC. LEY GRAL DE TELECOM ART 36 B LETRAS A, B, C Y D
12136;ENSEÑANZA NO AUTORIZ. DE ARTES MARCIALES (Art. 5 Ley 18.356)
12137;CORTE DESTR. ARBOLES RGMTO ART. 21 DCTO.4363 1931 Y L. BOSQ.
12144;INTERRUPCIÓN SERV. ELECT.(Art.134 DFL.1,1982,Ley Serv.Eléc.)
12145;LOTEOS IRREGULARES (Art.138 DFL 458,1975,Ley Gral.Urb.y Con)
12150;USO ILICITO FUEGO ART 18,22,22BIS 22 terC18S 4363 LEYBOSQUES
12159;DELITOS CONTENIDOS EN LEYES DE PRENDA ESP. L.20190 Y 18690
12172;USO,FACILITACIÓN O TRANSPORTE DE HILO CURADO.
12180;REVELACION INFO MONITOREO TELEMAT ART 23QUINQUIES L18216
12181;INUTILIZAR DISPOSIT MONITOREO TELEMAT ART 23 SEXIES L18216
12185;CONDUCIR INFL ALCOHOL CAUSANDO MUERTE. ART 193 INC 4
12186;COMERCIAR/DISTRIB SEÑAL PROTEGIDA TV ART36B LETRA E L18168
12999;DELITOS CONTEMPLADOS EN OTROS TEXTOS LEGALES
13101;TRANSPRTE DESECH. VERT. CLAND 192 BIS, INC. 6 LEY 20.879
13103;PERRO POTENCIALMENTE PELIGROSO NO INSCRITO ART 16 LEY 21.020
14006;CONDUC EBRIEDAD C/RESULT MUERTE  ART196INC3 LEY TRANSITO
14022;OCULTAMIENTO DE PLACA PATENTE (ART. 192 LETRA E)
14056;ATENTADO A VEH.MOT. EN CIRC. CON OBJ.CONTUNDENTE U OTRO SEM.
14057;CONDUCIR VEHICULO CON SANCIÓN VIGENTE. ART.209 LEY 18.290.
14062;FALSIF MEDIOS PAGO TRANSPORTES ART 196 QUATER L TRANSIT
14065;MAL USO INFO MEDIOS TECNO TRANSP PÚB ART196SEPTIES LTRANSIT
15002;CRÍMENES Y SIMPLES DELITOS SEGURIDAD INTERIOR DEL ESTADO
18002;OTORGAMIENTO DE PATENTES DE ALCOHOLES
18003;DIVULGACIÓN DE DATOS MILITANTES P. POLITICOS (23 BIS 18.603)
20001;ENVÍO DE EXPLOS, HOMIC, LES.Y SEC.TERROR. ART.2 Nº1 L.18314.
20002;APODERAMIENTO O ATENTADO AL TRANSPORTE PÚB.ART.2 Nº2 L.18314
20003;ATENTADO CONTRA JEFE DE ESTADO O AUT. PÚB. ART.2 Nº3 L.18314
20004;ATENTADO EXPLOSIVO O INCENDIARIO
20005;ASOCIACION ILÍCITA TERRORISTA. ART. 2 Nº5 LEY 18.314.
20006;RECAUDA/PROVEE FONDOS PARA TERRORISTAS POR P NAT ART8 L18134
20007;RECAUDA/PROVEE FONDOS PARA TERRORISTAS POR P JCA ART8 L18134
22400;INFRINGIR LEY ADMIN. SOSTENEDOR EDUCACIONAL LEY 20800 ART.30
22413;FALS. DE RÓTULOS O CERTIFICADOS ART. 48 TER (LEY 19.300)
22600;DESATENDER EL LLAMADO A RECLUTAMIENTO DL 2306. Art. 72
23100;INFRACCIONES LEY 19.496 PROT AL CONSUMIDOR ART 54 O y 59 TER
23300;INFRACCION L18.287 SOBRE JUZG.PCIA.LOCAL ART22QUATER L18287
